name,state,latitude,longitude,population
Aaronsburg,PA,40.89979,-77.45332,613
Aaronsburg,PA,40.01088,-80.00091,259
Abanda,AL,33.10095,-85.52968,192
Abbeville,AL,31.57184,-85.25049,2620
Abbeville,GA,31.99212,-83.30682,2815
Abbeville,LA,29.97465,-92.13429,12434
Abbeville,MS,34.50316,-89.50314,435
Abbeville,SC,34.17817,-82.37901,5191
Abbotsford,WI,44.94636,-90.31597,2264
Abbott,TX,31.88488,-97.07334,358
Abbottstown,PA,39.88649,-76.9847,1020
Abbyville,KS,37.97085,-98.20423,88
Abercrombie,ND,46.44774,-96.73036,259
Aberdeen,FL,26.55063,-80.14866,2672
Aberdeen,ID,42.94408,-112.83833,1929
Aberdeen,IN,41.43893,-87.11142,1875
Aberdeen,MA,42.34454,-71.1495,3575
Aberdeen,MD,39.50956,-76.16412,15580
Aberdeen,MS,33.82511,-88.54366,5397
Aberdeen,NC,35.13155,-79.42948,7343
Aberdeen,OH,38.65563,-83.76103,1607
Aberdeen,SD,45.4647,-98.48648,28102
Aberdeen,WA,46.97537,-123.81572,16276
Aberdeen Gardens,WA,47.06259,-123.77961,279
Aberdeen Proving Ground,MD,39.46686,-76.13066,2093
Abernathy,TX,33.8323,-101.84295,2743
Abeytas,NM,34.46756,-106.81142,56
Abie,NE,41.33418,-96.94892,67
Abilene,KS,38.91722,-97.21391,6558
Abilene,TX,32.44874,-99.73314,125182
Abingdon,IL,40.80448,-90.4018,3182
Abingdon,MD,39.46233,-76.27912,4826
Abingdon,VA,36.70983,-81.97735,8119
Abington,MA,42.10482,-70.94532,15985
Abington,PA,40.12067,-75.11795,55310
Abiquiu,NM,36.20724,-106.31864,231
Abita Springs,LA,30.47864,-90.04008,2499
Abram,TX,26.1998,-98.41113,2067
Abrams,WI,44.77916,-88.05983,340
Absarokee,MT,45.5205,-109.44294,1150
Absecon,NJ,39.42845,-74.49571,8317
Acala,TX,31.33401,-105.91441,11
Acalanes Ridge,CA,37.90472,-122.07857,1137
Acampo,CA,38.17464,-121.27856,341
Accident,MD,39.6287,-79.31976,316
Accokeek,MD,38.66762,-77.02831,10573
Accomac,VA,37.71957,-75.66548,496
Accord,NY,41.78565,-74.22904,562
Accoville,WV,37.76872,-81.83706,574
Acequia,ID,42.66796,-113.59695,124
Achille,OK,33.83343,-96.38721,510
Ackerly,TX,32.5265,-101.71597,231
Ackerman,MS,33.31012,-89.17284,1482
Ackermanville,PA,40.83926,-75.21935,610
Ackley,IA,42.55415,-93.05326,1560
Ackworth,IA,41.36694,-93.47271,86
Acme,PA,40.12674,-79.42865,3833
Acme,WA,48.71706,-122.20516,246
Acomita Lake,NM,35.07032,-107.61366,416
Acres Green,CO,39.55666,-104.89609,3007
Acton,CA,34.46999,-118.19674,7596
Acton,MA,42.48509,-71.43284,20897
Acton,ME,43.53425,-70.90978,2230
Acushnet,MA,41.68066,-70.90782,10850
Acushnet Center,MA,41.68508,-70.90642,3073
Acworth,GA,34.06635,-84.67837,22131
Acworth,NH,43.21785,-72.29203,890
Ada,KS,39.15139,-97.88921,100
Ada,MN,47.29969,-96.51535,1656
Ada,OH,40.7695,-83.82271,5811
Ada,OK,34.77453,-96.67834,17303
Adair,IA,41.50054,-94.64359,728
Adair,IL,40.41893,-90.49679,210
Adair,OK,36.43676,-95.27136,819
Adair Village,OR,44.67068,-123.21788,818
Adairsville,GA,34.3687,-84.93411,4778
Adairville,KY,36.66754,-86.85194,889
Adak,AK,51.87395,-176.63402,332
Adams,MA,42.62425,-73.1176,5515
Adams,MN,43.56524,-92.71935,779
Adams,ND,48.42139,-98.07899,124
Adams,NE,40.45944,-96.51002,596
Adams,NY,43.80923,-76.02409,1829
Adams,OR,45.76735,-118.56247,348
Adams,TN,36.58227,-87.06556,656
Adams,WI,43.95608,-89.81818,1893
Adams Center,NY,43.86006,-76.00548,1568
Adams Morgan,DC,38.9215,-77.0422,15830
Adamsburg,PA,40.31174,-79.65615,169
Adamstown,MD,39.31094,-77.47471,2372
Adamstown,PA,40.2412,-76.05633,1840
Adamsville,AL,33.60094,-86.95611,4400
Adamsville,OH,40.06979,-81.88235,116
Adamsville,PA,39.88288,-76.62108,118
Adamsville,PA,41.51116,-80.36979,67
Adamsville,TN,35.23591,-88.3906,2239
Addieville,IL,38.39144,-89.49009,243
Addington,OK,34.24454,-97.96698,109
Addis,LA,30.3538,-91.26539,4589
Addison,AL,34.20232,-87.1814,741
Addison,IL,41.9317,-87.98896,37208
Addison,ME,44.61841,-67.74416,1257
Addison,MI,41.98643,-84.34717,594
Addison,NY,42.10285,-77.23359,1716
Addison,PA,39.7473,-79.3392,201
Addison,TX,32.96179,-96.82917,15518
Addison,VT,44.08867,-73.30262,1361
Addison,WI,43.42278,-88.37454,3439
Addy,WA,48.35601,-117.83747,268
Addyston,OH,39.13672,-84.70911,931
Adel,GA,31.13727,-83.42408,5316
Adel,IA,41.61443,-94.01745,4245
Adelanto,CA,34.58277,-117.40922,33166
Adeline,IL,42.14336,-89.49039,82
Adelino,NM,34.71589,-106.73114,823
Adell,WI,43.61916,-87.95204,521
Adelphi,MD,39.00317,-76.97192,15086
Adelphi,OH,39.46673,-82.74711,374
Adena,OH,40.21868,-80.87287,730
Adin,CA,41.19378,-120.94524,272
Admire,KS,38.64112,-96.10305,155
Adona,AR,35.03814,-92.89795,204
Adrian,GA,32.53072,-82.5893,657
Adrian,MI,41.89755,-84.03717,20691
Adrian,MN,43.63497,-95.9328,1220
Adrian,MO,38.39752,-94.35162,1622
Adrian,OR,43.74072,-117.07183,172
Adrian,TX,35.27478,-102.66521,167
Advance,IN,39.99588,-86.62,511
Advance,MI,45.2214,-85.07756,328
Advance,MO,37.10455,-89.90953,1366
Advance,NC,35.94125,-80.40922,1138
Adwolf,VA,36.78928,-81.58206,1530
Aetna Estates,CO,39.73813,-104.67323,834
Affton,MO,38.55061,-90.33317,20307
Afton,IA,41.02749,-94.19801,829
Afton,MN,44.90275,-92.78354,2966
Afton,NY,42.22814,-75.52657,810
Afton,OK,36.69369,-94.96302,1050
Afton,WY,42.72493,-110.93187,1972
Agar,SD,44.83832,-100.07457,77
Agate Beach,OR,44.67734,-124.06178,12351
Agawam,MA,42.06954,-72.61481,28761
Agency,IA,40.99502,-92.30685,641
Agency,MO,39.64472,-94.73996,672
Agency,MT,47.32799,-114.29345,334
Agency Village,SD,45.58084,-97.08312,181
Agenda,KS,39.70778,-97.4317,64
Agoura,CA,34.14306,-118.73787,20537
Agoura Hills,CA,34.13639,-118.77453,20915
Agra,KS,39.76168,-99.11925,247
Agra,OK,35.89478,-96.87225,346
Agua Caliente,CA,38.32408,-122.48804,27090
Agua Dulce,CA,34.49638,-118.32563,3342
Agua Dulce,TX,27.78169,-97.90861,820
Agua Dulce,TX,31.65511,-106.13887,3014
Agua Fria,NM,35.65448,-106.02224,2800
Aguanga,CA,33.44281,-116.86502,1128
Aguila,AZ,33.94281,-113.17408,798
Aguilar,CO,37.40279,-104.65332,476
Aguilares,TX,27.44864,-99.08725,21
Ahmeek,MI,47.29881,-88.3965,146
Ahoskie,NC,36.28682,-76.98468,4910
Ahtanum,WA,46.55957,-120.62201,3601
Ahwahnee,CA,37.3655,-119.72627,2246
Aiken,SC,33.56042,-81.71955,30604
Ailey,GA,32.1874,-82.56569,552
Aina Haina,HI,21.28194,-157.7525,3558
Aina Haina-Hawaii Loa Ridge,HI,21.29139,-157.75578,3608
Ainaloa,HI,19.52694,-154.99306,2965
Ainsworth,IA,41.28891,-91.55238,571
Ainsworth,NE,42.55,-99.86262,1626
Air Force Academy,CO,38.99425,-104.86375,6680
Airmont,NY,41.10093,-74.11625,8891
Airport Drive,MO,37.14256,-94.51078,844
Airport Road,WY,43.99329,-107.94926,304
Airport Road Addition,TX,27.22004,-98.09945,93
Airville,PA,39.83232,-76.40635,3100
Airway Heights,WA,47.64461,-117.59327,6639
Aitkin,MN,46.53301,-93.71025,2053
Ajo,AZ,32.37172,-112.86071,3304
Ak Chin,AZ,32.28757,-112.00902,30
Ak-Chin Village,AZ,33.02838,-112.08764,862
Akaska,SD,45.33249,-100.12068,43
Akeley,MN,47.00413,-94.72695,431
Akhiok,AK,56.94549,-154.17184,72
Akiachak,AK,60.90944,-161.43139,627
Akiak,AK,60.91222,-161.21389,365
Akins,OK,35.50704,-94.69078,493
Akron,AL,32.87652,-87.74251,337
Akron,CO,40.16054,-103.21438,1724
Akron,IA,42.82888,-96.55948,1450
Akron,IN,41.03838,-86.02805,1133
Akron,MI,43.56808,-83.51413,393
Akron,NY,43.02089,-78.4953,2845
Akron,OH,41.08144,-81.51901,197542
Akron,PA,40.15676,-76.20217,3993
Akutan,AK,54.1343,-165.77515,1040
Alabama,NY,43.09645,-78.39086,1818
Alabaster,AL,33.24428,-86.81638,32707
Alachua,FL,29.75163,-82.42483,9757
Alafaya,FL,28.5641,-81.2114,78113
Alakanuk,AK,62.68889,-164.61528,735
Alamance,NC,36.03514,-79.48585,991
Alameda,CA,37.77099,-122.26087,78630
Alamillo,NM,34.25479,-106.91614,102
Alamo,CA,37.8502,-122.03218,14570
Alamo,GA,32.14712,-82.77792,3330
Alamo,IN,39.98199,-87.05723,65
Alamo,ND,48.58169,-103.46991,50
Alamo,NM,34.42089,-107.51088,1085
Alamo,NV,37.36496,-115.16446,1080
Alamo,TN,35.78479,-89.11729,2487
Alamo,TX,26.18369,-98.12306,19246
Alamogordo,NM,32.89953,-105.96027,30753
Alamosa,CO,37.46945,-105.87002,9819
Alamosa East,CO,37.47735,-105.84217,1458
Alanson,MI,45.44418,-84.78671,746
Alapaha,GA,31.3852,-83.22293,656
Alatna,AK,66.55722,-152.70722,37
Alba,MI,44.97473,-84.96866,295
Alba,MO,37.23839,-94.41745,539
Alba,PA,41.70507,-76.82829,153
Alba,TX,32.7929,-95.6344,510
Albany,CA,37.88687,-122.29775,19735
Albany,GA,31.57851,-84.15574,74843
Albany,IL,41.78947,-90.21929,890
Albany,IN,40.30088,-85.24191,2119
Albany,KY,36.6909,-85.13468,2012
Albany,LA,30.50436,-90.58231,1104
Albany,MN,45.62996,-94.57,2647
Albany,MO,39.22334,-94.11328,1791
Albany,MO,40.24861,-94.33107,1710
Albany,NH,43.95785,-71.16757,697
Albany,NY,42.65258,-73.75623,101228
Albany,OH,39.22757,-82.20237,905
Albany,OK,33.88149,-96.16276,143
Albany,OR,44.63651,-123.10593,52175
Albany,TX,32.72345,-99.2973,2014
Albany,VT,44.73088,-72.37983,186
Albany,WI,42.70778,-89.43706,1018
Albany,WY,41.18414,-106.13196,55
Albee,SD,45.05219,-96.55339,15
